"SpeciesGroup","Estimate","SE","p.value"
"EPFU",0.0310479543455221,0.0383327321244938,"p = 0.418"
"LACI",0.0457306564432574,0.040843808377343,"p = 0.263"
"LANO",-0.0328019989128489,0.0349828357373737,"p = 0.348"
"MYCA",-0.0886279847074338,0.0506283113319897,"p = 0.080"
"MYCI",-0.109041691456991,0.0736325812845874,"p = 0.139"
"MYEV",-0.00210264690435898,0.0627592511603992,"p = 0.973"
"MYLU",0.0751369862309096,0.0315666979794891,"p = 0.017"
"MYVO",-0.0965978100044231,0.0494185281543351,"p = 0.051"
"MYYU",0.0168749706306565,0.0672065762932179,"p = 0.802"
